grid_section_lat,grid_section_long,venue,v_lat,v_long,category,group,type
43.8198143,-111.78584093333299,Express Print and Copy,43.8186890345226,-111.782755008199,Paper / Office Supplies Store,Paper / Office Supplies Store,Shop & Service
43.8198143,-111.78584093333299,BYU-I Dance Department,43.818489020990896,-111.783051949512,College Classroom,College Classroom,College & University
43.8198143,-111.78584093333299,Chick-fil-A,43.818526,-111.782375,Fast Food Restaurant,Fast Food Restaurant,Food
43.8198143,-111.78584093333299,Testing Center,43.8185509957028,-111.783319115639,General College & University,General College & University,College & University
43.8198143,-111.78584093333299,BYU-I Rigby Hall,43.8171334599998,-111.784397357035,General College & University,General College & University,College & University
43.8198143,-111.78584093333299,BYUI Skybridge (MC),43.818648870056,-111.782840821898,College Quad,College Quad,College & University
43.8198143,-111.78584093333299,MC Market,43.8185753146586,-111.78290125228901,College Cafeteria,College Cafeteria,College & University
43.8198143,-111.78584093333299,Student Technology Center,43.81943,-111.78345900000001,College Lab,College Lab,College & University
43.8198143,-111.78584093333299,The Commons (In David O. McKay Library),43.8194132258915,-111.783263615255,College Library,College Library,College & University
43.8198143,-111.78584093333299,Harris Hall Apartments,43.8181913998746,-111.787111499307,Residential Building (Apartment / Condo),Residential Building (Apartment / Condo),Residence
43.8198143,-111.78584093333299,MC Bowling Alley,43.818575,-111.78275900000001,Athletics & Sports,Athletics & Sports,Outdoors & Recreation
43.8198143,-111.78584093333299,Beehive BYU-Idaho ATM,43.818624,-111.78267199999999,Bank,Bank,Shop & Service
43.8198143,-111.78584093333299,Computer Help Desk,43.819264000000004,-111.78324599999999,College Lab,College Lab,College & University
43.8198143,-111.78584093333299,BYU-I Student Activities,43.8185486216284,-111.783839165075,College Administrative Building,College Administrative Building,College & University
43.8198143,-111.78584093333299,Smith Quad,43.8191548095593,-111.782155036926,College Quad,College Quad,College & University
43.8198143,-111.78584093333299,course improvement office,43.81723,-111.785448,Coworking Space,Office,Professional & Other Places
43.8198143,-111.78251599999999,Hyrum Manwaring Student Center,43.8186305112177,-111.782724224239,Student Center,Student Center,College & University
43.8198143,-111.78251599999999,BYU Bookstore,43.817981838761995,-111.782228895643,College Bookstore,College Bookstore,College & University
